"codigounic,""COMUNA_SII"",""MANZ"",""PREDIO"",""AVALUO"",""SUP_TERR"",""ANO_CONSTR"",""SUP_CONSTR"",""UF_TRANS"",""COMUNA"",""Casas_UFPr"",""Depto_UFPr"",""IMORANCASA"",""IMORANDPTO"",""Ten_Metro"",""Ten_MetroC"""
"13101-1004-6,13101,1004,6,26419261,0,1972,70,1250,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-72,13101,1004,72,25286815,0,1972,67,1506,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-82,13101,1004,82,26419261,0,1972,70,1517,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-88,13101,1004,88,26419261,0,1972,70,1900,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-92,13101,1004,92,24154369,0,1972,64,1416,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-93,13101,1004,93,25286815,0,1972,67,1289,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-96,13101,1004,96,25286815,0,1972,67,1601,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-111,13101,1005,111,25338381,0,1972,67,1748,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-13,13101,1005,13,26472907,0,1972,70,2050,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-20,13101,1005,20,26472907,0,1972,70,3682,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-28,13101,1005,28,26472907,0,1972,70,1750,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-40,13101,1005,40,26472907,0,1972,70,1836,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-48,13101,1005,48,25338381,0,1972,67,966,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-50,13101,1005,50,24203856,0,1972,64,1531,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-54,13101,1005,54,25338381,0,1972,67,1489,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-6,13101,1005,6,28741958,0,1972,76,1460,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-80,13101,1005,80,24203856,0,1972,64,1350,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-91,13101,1005,91,26472907,0,1972,70,1576,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1005-96,13101,1005,96,25338381,0,1972,67,1402,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-115,13101,1006,115,25344185,0,1972,67,471,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-115,13101,1006,115,25344185,0,1972,67,956,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-117,13101,1006,117,24209659,0,1972,64,1642,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-125,13101,1006,125,26478710,0,1972,70,1370,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
